iter	MultiClass:use_weights=false	MultiClass
0	0.6475805671	0.6494449542
1	0.6021441208	0.6064413175
2	0.5556617061	0.5586485213
3	0.5176400411	0.5212302766
4	0.496363365	0.4959951017
5	0.4650060091	0.4650058598
6	0.4427575323	0.4417228038
7	0.4276659684	0.4262509893
8	0.4067359953	0.4053682652
9	0.3887309524	0.3896532497
10	0.3774328872	0.3778184245
11	0.3622358288	0.3627363864
12	0.3533883036	0.3533926282
13	0.3365460441	0.3377416832
14	0.3285498617	0.3289574181
15	0.3189350245	0.3193403119
16	0.3103261169	0.310420732
17	0.2991498878	0.300124461
18	0.2868053721	0.2861175111
19	0.277706585	0.2775719114
20	0.2715349059	0.270529855
21	0.2651999105	0.2636603706
22	0.2596167987	0.2580388539
23	0.2556124645	0.2526047018
24	0.2498624866	0.2469588325
25	0.2442431058	0.2412956975
26	0.2399358603	0.2366088449
27	0.2361911964	0.231128221
28	0.2320293337	0.2270645528
29	0.2264261815	0.2223610287
30	0.2218405582	0.2175948575
31	0.2170495076	0.2126138389
32	0.2137357545	0.209648447
33	0.2073564112	0.2043402698
34	0.2025923723	0.1995238895
35	0.1974863468	0.1945055031
36	0.1929999493	0.1894863885
37	0.1877384594	0.1848042366
38	0.1847565727	0.181397933
39	0.1812401136	0.1770132413
40	0.1793620458	0.1753281489
41	0.1758820961	0.1713833314
42	0.1720842356	0.1670475787
43	0.1671367355	0.1623243124
44	0.1651827781	0.1607984453
45	0.1633443659	0.1587015068
46	0.1588659691	0.1547147064
47	0.1539856392	0.1505593055
48	0.1512407954	0.1482182071
49	0.1492036893	0.146145139
50	0.1479342703	0.1449236235
51	0.143769015	0.1409874852
52	0.1408013937	0.1378139747
53	0.1383692226	0.1355774862
54	0.1353388351	0.1325462134
55	0.1338214822	0.1307335942
56	0.1322868083	0.1290206445
57	0.1288123328	0.1257761147
58	0.1273751444	0.1245266686
59	0.1250394255	0.1219299198
60	0.1228290033	0.1200176603
61	0.119531039	0.116757631
62	0.1156471489	0.1132227793
63	0.114134869	0.1116941866
64	0.1113016035	0.1090624225
65	0.1092154457	0.1064792896
66	0.1085789685	0.105695424
67	0.104455124	0.1016957297
68	0.1027167497	0.09984805957
69	0.100416706	0.09785590519
70	0.09932924161	0.0966209942
71	0.09730507851	0.09468268501
72	0.09496888792	0.09233959586
73	0.09390113416	0.09133294866
74	0.0923728443	0.08988691472
75	0.09171722891	0.08927171063
76	0.08902432071	0.08671608375
77	0.08829460425	0.08597359
78	0.08678712346	0.08454635085
79	0.08541592095	0.08337579993
80	0.08358117953	0.08175896797
81	0.08232367943	0.08032191227
82	0.08161491626	0.07971207939
83	0.08091547271	0.07911767977
84	0.08003259067	0.07815317126
85	0.07922432776	0.07724782135
86	0.07883419198	0.07680635196
87	0.07746738205	0.0756614917
88	0.07682108956	0.07527962126
89	0.07582194309	0.07440370564
90	0.07469757785	0.07367673363
91	0.07404144026	0.07302675499
92	0.07291818097	0.0719831397
93	0.07181754668	0.07088111936
94	0.07051635801	0.06972550916
95	0.06961759904	0.06875398314
96	0.06851703299	0.06761847825
97	0.06776668717	0.06647924356
98	0.06676132182	0.06529983792
99	0.06548238932	0.0641194226
100	0.06475058999	0.06345491251
101	0.06359345314	0.0622083176
102	0.06291964314	0.06157595923
103	0.06226161117	0.06107341458
104	0.06195302837	0.06084131319
105	0.06147602694	0.06024067203
106	0.0610856491	0.05989484984
107	0.06036521649	0.0588480889
108	0.05976423115	0.05832655195
109	0.05875337077	0.05758195261
110	0.05781086324	0.05628125854
111	0.0570499042	0.05532269316
112	0.05571620475	0.0542186312
113	0.05486645202	0.05347033748
114	0.05384152301	0.05261989686
115	0.05321831768	0.05193979198
116	0.05289453812	0.05162299496
117	0.05233341007	0.05102882283
118	0.05148549693	0.05039896841
119	0.05102066473	0.0498098263
120	0.0503286117	0.04920039067
121	0.04952721316	0.04865401675
122	0.04897573237	0.04813047502
123	0.04825589586	0.04749083764
124	0.04785745627	0.04717868349
125	0.04726657584	0.04656750154
126	0.04621704641	0.0456818135
127	0.04603180039	0.04538001785
128	0.04553011673	0.04477902127
129	0.04510932068	0.04432464687
130	0.04466667763	0.04401171053
131	0.0443545544	0.0436389245
132	0.04371715415	0.04305407828
133	0.04311188739	0.04239629446
134	0.04241624247	0.04152992476
135	0.04173021305	0.04106126395
136	0.04120122072	0.04067910556
137	0.0407171885	0.04019723886
138	0.04028825334	0.03989612281
139	0.03956045967	0.03931293784
140	0.03905350983	0.03884951604
141	0.03882446775	0.03848420077
142	0.0381897465	0.03793427821
143	0.03736451973	0.03731508186
144	0.03731732195	0.03716690851
145	0.03729813845	0.03699312432
146	0.03690755954	0.03662023053
147	0.03660846128	0.03623229713
148	0.03634285429	0.03589673362
149	0.03593191009	0.03561979758
150	0.03566602647	0.0353598873
151	0.03568697106	0.03526752056
152	0.03513512169	0.03461751159
153	0.03474746598	0.03421939096
154	0.03456665266	0.03393298458
155	0.034370011	0.03380364533
156	0.03417527214	0.03357671732
157	0.03389278502	0.03318117525
158	0.03343320841	0.03278519176
159	0.03318203531	0.03246531783
160	0.03280828489	0.03217244847
161	0.03232564223	0.0316265033
162	0.03191761042	0.03128865342
163	0.03164141136	0.03085985135
164	0.03149819786	0.0307724259
165	0.03129636881	0.03057279899
166	0.03094377091	0.03012652277
167	0.0307011692	0.02991534386
168	0.03042089839	0.02970253275
169	0.03014316105	0.02950286674
170	0.03011511143	0.02948625439
171	0.02986296645	0.02925209063
172	0.02980944072	0.02914753707
173	0.02959673256	0.02875998946
174	0.02919976273	0.02856649476
175	0.02898648209	0.02838258744
176	0.02893209987	0.02826966905
177	0.02862547483	0.02789842773
178	0.02828095107	0.02748726266
179	0.02800594419	0.02729510335
180	0.02775674358	0.02704450847
181	0.0276769911	0.02692059064
