iter	MultiClass:use_weights=false	MultiClass
0	0.6093096196	0.6097460244
1	0.5427405813	0.5435022956
2	0.4909455807	0.4912371755
3	0.4453376228	0.4457744629
4	0.4041079926	0.4032625474
5	0.371326026	0.3692431356
6	0.3476834157	0.3432539276
7	0.3259350123	0.3200623655
8	0.3047501791	0.2974179531
9	0.2851126147	0.2781648328
10	0.2711637629	0.2625796401
11	0.2569027582	0.2465726573
12	0.2435461918	0.2322190157
13	0.2314902727	0.2216709321
14	0.2196781552	0.2114185333
15	0.2103313238	0.2008107808
16	0.202883137	0.1936264477
17	0.1966150988	0.1860722713
18	0.190476671	0.1795726212
19	0.1845509793	0.1727651618
20	0.17882475	0.1657668222
21	0.1735092748	0.1596742233
22	0.1666021249	0.1537428736
23	0.1609147765	0.148819706
24	0.1555829246	0.1449123036
25	0.1536532161	0.1427853511
26	0.1495631661	0.138920578
27	0.1482426471	0.1379275967
28	0.1466438268	0.1360602725
29	0.1429127105	0.1320725697
30	0.1383352899	0.1283953248
31	0.1350992843	0.1252048865
32	0.1346184166	0.1246319087
33	0.1332379171	0.1235973912
34	0.1321677918	0.1227124139
35	0.1291982277	0.1191826515
36	0.1267663506	0.1160116264
37	0.1230624811	0.1131858019
38	0.1222026311	0.1120996143
39	0.1217820733	0.1115579592
40	0.1214717829	0.1112949257
41	0.1201233132	0.1099934165
42	0.1178062451	0.1082817775
43	0.116189439	0.1060750438
44	0.1137562669	0.1042106744
45	0.1124943815	0.1034031785
46	0.1123936337	0.1031806537
47	0.1109493007	0.1016418731
48	0.1102839574	0.1011369318
49	0.1094455559	0.09966033003
50	0.1087935498	0.09892948494
51	0.1077267703	0.09825710127
52	0.1058690032	0.09595216741
53	0.1038636839	0.09434808955
54	0.1012752708	0.09250480714
55	0.1007610461	0.09203205904
56	0.09943282597	0.09015114533
57	0.09838605325	0.08851869037
58	0.09581903859	0.08678847252
59	0.09574466738	0.08671369281
60	0.09470427521	0.0860169274
61	0.09414867979	0.08550402683
62	0.09361295302	0.08509425271
63	0.09257352229	0.08434401359
64	0.09112279738	0.08298693589
65	0.09005096156	0.08188081239
66	0.08985104251	0.08164187736
67	0.08916756841	0.08087951714
68	0.08612579691	0.07791355363
69	0.08584582063	0.07768516625
70	0.08504141215	0.07702890619
71	0.08475585689	0.07692222611
72	0.084344935	0.07649054047
73	0.08413677247	0.07628922499
74	0.0830688391	0.07535173197
75	0.08246066049	0.07451756658
76	0.08168838858	0.0737620941
77	0.08030729202	0.07204685076
78	0.07971242757	0.07153036476
79	0.07910214351	0.07109767076
80	0.07900575047	0.07098146933
81	0.07803234152	0.06995104615
82	0.07742395818	0.06947897025
83	0.07619939054	0.06864439297
84	0.07563166779	0.06825494981
85	0.07429375125	0.0670217785
86	0.07410594926	0.06681705642
87	0.07337716136	0.06610978592
88	0.07204864658	0.06496729887
89	0.07126653617	0.0643681149
90	0.07020019081	0.06348137029
91	0.06906829192	0.06226150806
92	0.06791049428	0.06143286069
93	0.06772659622	0.06127708207
94	0.06659566463	0.05992943686
95	0.06639561095	0.05983530967
96	0.06585960216	0.05920408353
97	0.06550821101	0.05893524727
98	0.06487975407	0.05840055019
99	0.06443392691	0.05810988957
100	0.06407806418	0.05771117824
101	0.06352693238	0.05719083342
102	0.06285629461	0.05664659118
103	0.06254419098	0.05644146609
104	0.06197211473	0.05597358809
105	0.06178956361	0.05591427569
106	0.06058608205	0.055148824
107	0.05998024443	0.05469058304
108	0.05929176797	0.05430367026
109	0.05903250085	0.05404071633
110	0.05808672466	0.05315142561
111	0.05795024797	0.05306650291
112	0.0577958897	0.05291813359
113	0.05679494996	0.05186012733
114	0.05561922444	0.05106752911
115	0.05504194887	0.0503686503
116	0.05478790194	0.05002922031
117	0.05457441421	0.04987583761
118	0.05426140184	0.04917233458
119	0.05399691297	0.04899998054
120	0.05357311459	0.04867822034
121	0.05348872604	0.04864372681
