iter	Passed	Remaining
525	2660	250282
526	2666	250346
527	2671	250332
528	2676	250307
529	2681	250279
530	2686	250272
531	2692	250383
532	2697	250348
533	2703	250434
534	2708	250462
535	2714	250512
536	2720	250595
537	2725	250591
538	2731	250650
539	2736	250674
540	2741	250620
541	2746	250576
542	2750	250556
543	2756	250554
544	2761	250545
545	2765	250520
546	2770	250500
547	2775	250426
548	2779	250362
549	2783	250275
550	2788	250227
551	2793	250236
552	2798	250235
553	2803	250192
554	2807	250149
555	2813	250159
556	2818	250172
557	2823	250172
558	2828	250174
559	2833	250165
560	2838	250177
561	2846	250371
562	2852	250469
563	2857	250503
564	2863	250502
565	2868	250508
566	2872	250429
567	2876	250349
568	2881	250308
569	2885	250259
570	2890	250244
571	2895	250182
572	2899	250142
573	2904	250112
574	2911	250219
575	2915	250194
576	2920	250174
577	2926	250193
578	2931	250206
579	2936	250224
580	2941	250163
581	2946	250169
582	2951	250184
583	2957	250220
584	2962	250218
585	2966	250170
586	2972	250201
587	2978	250277
588	2983	250264
589	2988	250239
590	2993	250228
591	2997	250167
592	3001	250085
593	3006	250081
594	3012	250097
595	3016	250062
596	3021	249996
597	3024	249892
598	3028	249794
599	3033	249737
600	3037	249664
601	3041	249579
602	3045	249482
603	3049	249422
